Name_ko,음료 설명,알러지 요인
나이트로 바닐라 크림,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,알레르기 유발요인 : 우유
나이트로 콜드 브루,나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!,
돌체 콜드 브루,"무더운 여름철,",알레르기 유발요인 : 우유
리저브 나이트로,나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!,
리저브 콜드 브루,리저브 커피 마스터의 정성으로 차갑게 추출한 깊고 부드러운 풍미의 커피,
민트 콜드 브루,상쾌한 민트향 시럽과 잘게 갈린 얼음이,
바닐라 크림 콜드 브루,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,알레르기 유발요인 : 우유
바닐라 크림 콜드 브루,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,
여수 윤슬 헤이즐넛 콜드브루,햇빛이나 달빛에 비치어 반짝이는 잔물결이라는,알레르기 유발요인 : 우유
오트 콜드 브루,콜드 브루의 풍미와 깔끔한 오트음료(식물성 대체유)가 어우러진 달콤 고소한 라떼.,
제주 비자림 콜드 브루,제주 천년의 숲 비자림을 연상시키는 음료로 제주 유기농 말차와 콜드 브루가 조화로운 제주 특화 콜드 브루 음료,알레르기 유발요인 : 우유
콜드 브루,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!,
콜드 브루,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!,
콜드 브루,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!,
콜드 브루 플로트,[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,알레르기 유발요인 : 우유
아이스 커피,"케냐, 하우스 블렌드 등 약간의 산미가 있는 커피를 드립 방식으로 추출한 후 얼음과 함께 제공하는 커피 입니다.",
오늘의 커피,"시즌에 어울리는 원두 종류를 선정하여 신선하게 브루드(Brewed)되어 제공되는 드립커피로, 원두 커피의 풍부한 맛과 향을 따뜻하게 즐기실 수 있습니다.",
아이스 에스프레소 쿠키 라떼,고소한 쿠키 풍미의 베이스에 진한 커피가 더해진 에스프레소 음료,알레르기 유발요인 : 땅콩 / 우유 / 달걀 / 밀
아이스 에스프레소 쿠키 라떼,고소한 쿠키 풍미의 베이스에 진한 커피가 더해진 에스프레소 음료,
에스프레소 콘 파나,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",알레르기 유발요인 : 우유
에스프레소 콘 파나,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",
아이스 카페 아메리카노,진한 에스프레소에 시원한 정수물과 얼음을 더하여 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽고 시원하게 즐길 수 있는 커피,
카페 아메리카노,진한 에스프레소와 뜨거운 물을 섞어 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피,
아이스 카라멜 마키아또,향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,알레르기 유발요인 : 대두 / 우유
카라멜 마키아또,향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,알레르기 유발요인 : 대두 / 우유
카라멜 마키아또,향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,
카푸치노,풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,알레르기 유발요인 : 우유
카푸치노,풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,
바닐라 빈 라떼,리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,알레르기 유발요인 : 우유
사케라또 비안코 오버 아이스,얼음과 같이 쉐이킹하여 차가워진 진한 리저브 에스프레소와 하우스 메이드 크림이 어우러진 달콤한 음료,알레르기 유발요인 : 우유
사케라또 비안코 오버 아이스,얼음과 같이 쉐이킹하여 차가워진 진한 리저브 에스프레소와 하우스 메이드 크림이 어우러진 달콤한 음료,
스타벅스 1호점 카페 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 카페 라떼.,알레르기 유발요인 : 우유
스타벅스 1호점 카페 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 카페 라떼.,
아이스 라벤더 카페 브레베,진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,알레르기 유발요인 : 우유
아이스 바닐라 빈 라떼,리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,알레르기 유발요인 : 우유
아이스 스타벅스 1호점 바닐라 빈 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 바닐라 빈 라떼.,알레르기 유발요인 : 우유
아이스 스타벅스 1호점 카페 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 카페 라떼.,알레르기 유발요인 : 우유
아이스 스타벅스 돌체 라떼,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,알레르기 유발요인 : 우유
아이스 카페 라떼,풍부하고 진한 농도의 에스프레소가 시원한 우유와 얼음을 만나 고소함과 시원함을 즐길 수 있는 대표적인 커피 라떼,알레르기 유발요인 : 우유
카페 라떼,풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼,알레르기 유발요인 : 우유
아이스 카페 모카,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,알레르기 유발요인 : 우유
아이스 화이트 초콜릿 모카,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,알레르기 유발요인 : 우유
카페 모카,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,알레르기 유발요인 : 우유
클래식 민트 모카,스타벅스의 클래식인 페퍼민트 모카를 떠올리게 하는 리저브만의 에스프레소 음료.,
화이트 초콜릿 모카,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,알레르기 유발요인 : 우유
바닐라 플랫 화이트,바닐라 플랫 화이트는 진하고 고소한 리스트레토 샷과 바닐라 시럽 그리고 스팀 밀크로 즐기는 진한 커피 라떼 입니다.,알레르기 유발요인 : 우유
바닐라 스타벅스 더블 샷,"신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",알레르기 유발요인 : 우유
블론드 바닐라 더블 샷 마키아또,블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우러진 마키아또 타입의 음료를 즐겨 보세요!,알레르기 유발요인 : 우유
사케라또 아포가토,민트 잎과 쉐이킹한 리저브 에스프레소를,알레르기 유발요인 : 우유
스파클링 시트러스 에스프레소,리저브 에스프레소에 상큼한 레몬과,
아이스 블론드 바닐라 더블 샷 마키아또,블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우러진 마키아또 타입의 음료를 즐겨 보세요!,알레르기 유발요인 : 우유
에스프레소,"스타벅스 에스프레소는 향기로운 크레마 층과 바디 층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료",
커피 스타벅스 더블 샷,"신선하게 제조된 더블 샷 믹스에 클래식 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",알레르기 유발요인 : 우유
클래식 아포가토,[리저브R 매장 전용음료] 리저브 에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토,알레르기 유발요인 : 우유
헤이즐넛 스타벅스 더블 샷,"신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료",알레르기 유발요인 : 우유
에스프레소 프라푸치노,에스프레소 샷의 강렬함과 약간의 단맛이 어우러진 프라푸치노,알레르기 유발요인 : 우유
자바 칩 프라푸치노,"커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 스타벅스에서만 맛볼 수 있는 프라푸치노",알레르기 유발요인 : 대두 / 우유 / 밀
카라멜 프라푸치노,카라멜과 커피가 어우러진 프라푸치노,알레르기 유발요인 : 대두 / 우유
화이트 초콜릿 모카 프라푸치노,"화이트 초콜릿, 커피와 우유가 조화로운 프라푸치노",알레르기 유발요인 : 우유
제주 까망 크림 프라푸치노,[제주지역 한정음료] 제주 까망 라떼의 프라푸치노 버전으로,알레르기 유발요인 : 땅콩 / 대두 / 우유 / 알류 / 밀 / 오징어
제주 쑥떡 크림 프라푸치노,[제주지역 한정음료] 제주 쑥쑥 라떼의 시원한 버전으로,알레르기 유발요인 : 대두 / 우유 / 밀
제주 유기농 말차로 만든 크림 프라푸치노,깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 프라푸치노,알레르기 유발요인 : 우유
초콜릿 크림 칩 프라푸치노,"모카 소스와 진한 초콜릿 칩, 초콜릿 드리즐이 올라간 달콤한 크림 프라푸치노",알레르기 유발요인 : 대두 / 우유 / 밀
피스타치오 아보카도 초콜릿 프라푸치노,"고소한 피스타치오와 달콤한 초콜릿,",알레르기 유발요인 : 땅콩 / 우유
화이트 타이거 프라푸치노,밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노,알레르기 유발요인 : 우유
망고 패션 티 블렌디드,망고 패션 프루트 주스와 패션 탱고 티가,알레르기 유발요인 : 대두
북한산 레몬 얼 그레이 블렌디드,꼬냑 향을 가미한 상큼한 레모네이드와 은은한 얼 그레이 티가 어우러진 블렌디드 음료,
스타벅스 클래식 밀크티 블렌디드,블랙티의 풍미와 향이 더욱 풍요롭게,알레르기 유발요인 : 우유
여수 바다 유자 블렌디드,맑고 깨끗한 여수 경도의 낮 바다 풍경을 형상화한 음료로,
딸기 딜라이트 요거트 블렌디드,유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이,알레르기 유발요인 : 우유
망고 바나나 블렌디드,(Grande Only) 달콤한 망고 패션 프루트 주스에,알레르기 유발요인 : 대두 / 우유
코튼 스카이 요거트 블렌디드,"고층 매장에서 느낄 수 있는 드넓은 전경을 형상화한 음료로,",알레르기 유발요인 : 우유
피치 요거트 블렌디드,달콤한 복숭아에 구름같은 요거트가 더해져,알레르기 유발요인 : 우유 / 복숭아
피치 요거트 블렌디드,달콤한 복숭아에 구름같은 요거트가 더해져,
딸기 아사이 레모네이드 스타벅스 리프레셔,"딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료",
망고 용과 레모네이드 스타벅스 리프레셔,망고 용과와 레모네이드가 달콤 상큼하게 조화된 맛에,
퍼플 드링크 위드 망고 용과 스타벅스 리프레셔,망고 용과와 코코넛 밀크가 달콤하고 부드럽게 조화된 맛에,
핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,"딸기, 아사이베리 주스와 코코넛 베이스가 달콤하고 부드럽게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료",
레드 애플 피지오,달콤상큼한 사과맛으로 가볍게 즐길 수 있는 애플 피지오,
아이스크림 레드 애플 피지오,리저브 전용 아이스크림과 함께 달콤 상큼한 사과맛으로,알레르기 유발요인 : 우유
여수 바다 자몽 피지오,여수 돌산대교의 밤바다 풍경을 형상화한 음료로,알레르기 유발요인 : 복숭아
유자 패션 피지오,상콤달콤 고흥 유자와 스타벅스 시그니처 패션 탱고 티에,
제주팔삭 셔벗 피지오,제주송당의 소원나무에 걸린 제주 동백꽃을 형상화한 음료,
제주팔삭 피지오,제주의 자몽이라는 별명을 가진 팔삭과 제주 한라봉으로,
쿨 라임 피지오,그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),
피치 딸기 피지오,상큼한 과일과 청량한 탄산의 조화.,알레르기 유발요인 : 복숭아
리프레싱 자몽 캐모마일 티,자몽과 캐모마일의 산뜻한 조화가 리프레싱 되는 느낌을 주는 카페인 프리 티 음료,
아이스 리프레싱 자몽 캐모마일 티,자몽과 캐모마일의 산뜻한 조화가 리프레싱 되는 느낌을 주는 카페인 프리 티 음료,
민트 블렌드 티,"스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",
아이스 민트 블렌드 티,"스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",
아이스 얼 그레이 티,꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,
아이스 유스베리 티,"제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이",
아이스 유자 민트 티,달콤한 국내산 고흥 유자와 알싸하고 은은한 진저와 상쾌한 민트 티가 조화로운 유자 민트 티,
아이스 잉글리쉬 브렉퍼스트 티,"인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",
아이스 제주 유기 녹차,"우수한 품질의 제주도 유기농 녹차로 만든 맑은 수색과 신선한 향, 맛이 뛰어난 녹차",
아이스 제주팔삭 & 자몽 허니 블랙 티,제주의 자몽이라는 별명을 가진 팔삭과 마누카꿀로,
아이스 캐모마일 블렌드 티,"캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어",
아이스 히비스커스 블렌드 티,"히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티",
얼 그레이 티,꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,
유스베리 티,"제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이",
유자 민트 티,"달콤한 국내산 고흥 유자와 알싸하고 은은한 진저,",
잉글리쉬 브렉퍼스트 티,"인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",
자몽 허니 블랙 티,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화,
제주 유기 녹차,"우수한 품질의 제주도 유기농 녹차로 만든 맑은 수색과 신선한 향, 맛이 뛰어난 녹차",
제주팔삭 & 자몽 허니 블랙 티,제주의 자몽이라는 별명을 가진 팔삭과 마누카꿀로,
캐모마일 블렌드 티,"캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어",
히비스커스 블렌드 티,"히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티",
레드 파워 패션 티,딸기와 복숭아의 화사함에 패션 탱고티의 산뜻함을 더해,알레르기 유발요인 : 복숭아
레몬 캐모마일 블렌드 티,상큼한 레몬에 캐모마일이,
아이스 레몬 캐모마일 블렌드 티,상큼한 레몬에 캐모마일이,
아이스 자몽 허니 블랙 티,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화,
아이스 자몽 허니 블랙 티,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화.,
돌체 블랙 밀크 티,진한 홍차에 부드러운 우유와 연유 시럽으로 향긋하고,알레르기 유발요인 : 우유
말차 티라미수 라떼,달콤 쌉싸름한 말차크림으로 부드럽게 즐길 수 있는,알레르기 유발요인 : 우유
스노우 말차 라떼,달콤한 글레이즈드 소스에 쌉싸름한 말차가,알레르기 유발요인 : 우유 / 쇠고기
스타벅스 클래식 밀크 티,"스타벅스가 선보이는 클래식한 밀크 티로,",알레르기 유발요인 : 우유
스타벅스 클래식 밀크 티,"스타벅스가 선보이는 클래식한 밀크 티로,",
아이스 돌체 블랙 밀크 티,진한 홍차에 부드러운 우유와 연유 시럽으로 향긋하고,알레르기 유발요인 : 우유
아이스 말차 티라미수 라떼,달콤 쌉싸름한 말차크림으로 부드럽게 즐길 수 있는,알레르기 유발요인 : 우유
아이스 스노우 말차 라떼,달콤한 글레이즈드 소스에 쌉싸름한 말차가,알레르기 유발요인 : 우유 / 쇠고기
아이스 스타벅스 클래식 밀크 티,"스타벅스가 선보이는 클래식한 밀크 티로,",알레르기 유발요인 : 우유
아이스 얼 그레이 바닐라 티 라떼,"2가지 티(블랙티, 얼 그레이 티)가 조화롭게 어우러지고",알레르기 유발요인 : 우유
아이스 제주 유기농 말차로 만든 라떼,차광재배한 어린 녹찻잎을 곱게 갈아 깊고 진한 말차 본연의 맛과 향을,알레르기 유발요인 : 우유
아이스 차이 티 라떼,"스파이시한 향과 독특한 계피향, 달콤한 차이로 만든 부드러운 티 라떼",알레르기 유발요인 : 우유
얼 그레이 바닐라 티 라떼,"2가지 티(블랙티, 얼 그레이 티)가 조화롭게 어우러지고",알레르기 유발요인 : 우유
제주 유기농 말차로 만든 라떼,차광재배한 어린 녹찻잎을 곱게 갈아 깊고 진한 말차 본연의 맛과 향을,알레르기 유발요인 : 우유
차이 티 라떼,"스파이시한 향과 독특한 계피향, 달콤한 차이로 만든 부드러운 티 라떼",알레르기 유발요인 : 우유
스타벅스 딸기 라떼,봄을 상큼하게 물들이는 딸기의 새콤 달콤함과 우유의 부드러움이 어우러진 스타벅스 딸기 라떼,알레르기 유발요인 : 우유
아이스 화이트 타로 라떼,타로 본연의 자연스러운 색과 질감을 담아낸,알레르기 유발요인 : 우유
화이트 타로 라떼,타로 본연의 자연스러운 색과 질감을 담아낸,알레르기 유발요인 : 우유
딸기 콜드폼 초콜릿,딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과,알레르기 유발요인 : 우유
시그니처 핫 초콜릿,깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 초콜릿 음료,알레르기 유발요인 : 우유
아이스 시그니처 초콜릿,깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 초콜릿 음료,알레르기 유발요인 : 우유
아이스 티라미수 초콜릿,리저브 다크 초콜릿을 활용하여 초콜릿 풍미 가득한 디저트 타입의 티라미수 초콜릿,알레르기 유발요인 : 우유
티라미수 초콜릿,리저브 다크 초콜릿을 활용하여 초콜릿 풍미 가득한 디저트 타입의 티라미수 초콜릿,알레르기 유발요인 : 우유
플러피 판다 아이스 초콜릿,"고소한 헤이즐넛과 진한 초콜릿의 만남,",알레르기 유발요인 : 우유
플러피 판다 핫 초콜릿,"고소한 헤이즐넛과 진한 핫초콜릿의 만남,",알레르기 유발요인 : 우유
딸기 콜드폼 딸기 라떼,딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과,알레르기 유발요인 : 우유
스타벅스 슬래머,"스트로베리와 아사이베리의 상큼, 달콤한 맛이 톡톡!",
스팀 우유,부드럽고 담백한 따뜻한 우유.,알레르기 유발요인 : 우유
아이스 제주 까망 라떼,[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을,알레르기 유발요인 : 땅콩 / 대두 / 우유 / 알류 / 밀 / 오징어
우유,부드럽고 담백한 신선한 우유.,알레르기 유발요인 : 우유
제주 까망 라떼,[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을,알레르기 유발요인 : 땅콩 / 대두 / 우유 / 알류 / 밀 / 오징어
제주 까망 라떼,[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을,
필 더 그린 190ML,과일 및 채소를 착즙하여 만든 주스!,
필 더 레드 190ML,과일 및 채소를 착즙하여 만든 주스!,
필 더 레드 190ML,과일 및 채소를 착즙하여 만든 주스!,
딸기주스 190ML,달콤한 국내산 딸기의 과육이 듬뿍 느껴지는 주스,
망고주스 190ML,노랗게 익은 열대과일 망고가 입안 가득 느껴지는 주스,
스타 루비 자몽 스위트 190ML,리프레시가 필요할 땐!,
유기농 오렌지 100% 주스 190ML,프리미엄 유기농 오렌지 주스로,
유기농 오렌지 100% 주스 591ML,프리미엄 유기농 오렌지 주스로,
케일&사과주스 190ML,국내산 케일과 사과의 달콤함이 조화로운 녹색 주스,
핑크 용과 레모네이드 190ML,레드 용과의 상큼함에,
한라봉주스 190ML,새콤달콤한 황금빛 제주 한라봉을 그대로 담아낸 주스,
햇사과 주스 190ML,달콤새콤한 햇사과 1개 반을 껍질 그대로 착즙한 사과 주스,
햇사과 주스 591ML,햇 사과 네개 반을 껍질 그대로  착즙한 신선한 맛의 사과 주스,
딸기 가득 요거트 190ML,상큼 달콤 딸기 과육이 한가득 씹히는 마시는 요거트 음료,알레르기 유발요인 : 우유
블루베리 요거트 190ML,블루베리 과육이 입안 가득 느껴지는 마시는 요거트,알레르기 유발요인 : 우유
