Name_ko,Name_eng,Size_eng,Size_ko,ml,oz,1회 제공량 (kcal),포화지방 (g),단백질 (g),나트륨 (mg),당류 (g),카페인 (mg),알레르기 유발요인
나이트로 바닐라 크림,Nitro Vanilla Cream,Tall,톨,355,12 fl oz,1,2,1,40,10,232
나이트로 콜드 브루,Nitro Cold Brew,Tall,톨,355,12 fl oz,1,0,0,5,0,245
돌체 콜드 브루,Dolce Cold Brew,Tall,톨,355,12 fl oz,1,9,8,130,29,155
리저브 나이트로,Reserve Nitro,Tall,톨,355,12 fl oz,1,0,0,0,0,190
리저브 콜드 브루,Reserve Cold Brew,Tall,톨,355,12 fl oz,1,0,0,0,0,190
민트 콜드 브루,Mint Cold Brew,Grande,그란데,473,16 fl oz,1,0,0,0,23,415
바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,Tall,톨,355,12 fl oz,1,6,3,58,11,155
바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,,,,,1,0,0,0,0,0
여수 윤슬 헤이즐넛 콜드브루,Yeosu Shining Hazelnut Cold Brew,,,,,1,9,5,85,27,53
오트 콜드 브루,Oat Cold Brew,Tall,톨,355,12 fl oz,1,0,1,95,14,65
제주 비자림 콜드 브루,Jeju Forest Cold Brew,Grande,그란데,473,16 fl oz,1,8,11,140,39,305
콜드 브루,Cold Brew,Tall,톨,355,12 fl oz,1,0,0,11,0,155
콜드 브루,Cold Brew,Trenta,트렌타,887,30 fl oz,1,0,0,25,0,360
콜드 브루,Cold Brew,,,,,1,0,0,0,0,0
콜드 브루 플로트,Cold Brew Float,Tall,톨,355,12 fl oz,1,10,3,70,18,190
아이스 커피,Iced Coffee,Tall,톨,355,12 fl oz,1,0,0,10,0,140
오늘의 커피,Brewed Coffee,Tall,톨,355,12 fl oz,1,0,0,15,0,260
아이스 에스프레소 쿠키 라떼,Iced Espresso Cookie Latte,Tall,톨,355,12 fl oz,1,8,7,140,23,90
아이스 에스프레소 쿠키 라떼,Iced Espresso Cookie Latte,,,,,1,0,0,0,0,0
에스프레소 콘 파나,Espresso Con Panna,,,,,1,1,0,0,1,75
에스프레소 콘 파나,Espresso Con Panna,,,,,1,0,0,0,0,0
아이스 카페 아메리카노,Iced Caffe Americano,Tall,톨,355,12 fl oz,1,0,1,5,0,150
카페 아메리카노,Caffe Americano,Tall,톨,355,12 fl oz,1,0,1,5,0,150
아이스 카라멜 마키아또,Iced Caramel Macchiato,Tall,톨,355,12 fl oz,1,4,6,110,22,75
카라멜 마키아또,Caramel Macchiato,Tall,톨,355,12 fl oz,1,5,8,130,22,75
카라멜 마키아또,Caramel Macchiato,,,,,1,0,0,0,0,0
카푸치노,Cappuccino,Tall,톨,355,12 fl oz,1,3,6,70,8,75
카푸치노,Cappuccino,,,,,1,0,0,0,0,0
바닐라 빈 라떼,Vanilla Bean Latte,Tall,톨,355,12 fl oz,1,6,9,150,27,210
사케라또 비안코 오버 아이스,Shakerato Bianco Over Ice,Tall,톨,355,12 fl oz,1,18,3,45,14,315
사케라또 비안코 오버 아이스,Shakerato Bianco Over Ice,,,,,1,0,0,0,0,0
스타벅스 1호점 카페 라떼,Starbucks 1st Store Cafe Latte,Tall,톨,355,12 fl oz,1,6,10,150,15,210
스타벅스 1호점 카페 라떼,Starbucks 1st Store Cafe Latte,,,,,1,0,0,0,0,0
아이스 라벤더 카페 브레베,Iced Lavender Cafe Breve,Tall,톨,355,12 fl oz,1,18,6,110,27,105
아이스 바닐라 빈 라떼,Iced Vanilla Bean Latte,Tall,톨,355,12 fl oz,1,2,5,75,20,210
아이스 스타벅스 1호점 바닐라 빈 라떼,Iced Starbucks 1st Store Vanilla Bean Latte,Tall,톨,355,12 fl oz,1,2,6,90,21,210
아이스 스타벅스 1호점 카페 라떼,Iced Starbucks 1st Store Cafe Latte,Tall,톨,355,12 fl oz,1,3,6,100,9,210
아이스 스타벅스 돌체 라떼,Iced Starbucks Dolce Latte,Tall,톨,355,12 fl oz,1,2,10,145,35,150
아이스 카페 라떼,Iced Caffe Latte,Tall,톨,355,12 fl oz,1,3,6,75,8,75
카페 라떼,Caffe Latte,Tall,톨,355,12 fl oz,1,5,10,115,13,75
아이스 카페 모카,Iced Caffe Mocha,Tall,톨,355,12 fl oz,1,8,7,70,21,95
아이스 화이트 초콜릿 모카,Iced White Chocolate Mocha,Tall,톨,355,12 fl oz,1,8,8,160,41,75
카페 모카,Caffe Mocha,Tall,톨,355,12 fl oz,1,9,10,105,25,95
클래식 민트 모카,Classic Mint Mocha,Grande,그란데,473,16 fl oz,1,0,4,200,43,210
화이트 초콜릿 모카,White Chocolate Mocha,Tall,톨,355,12 fl oz,1,11,12,230,47,75
바닐라 플랫 화이트,Vanilla Flat White,Tall,톨,355,12 fl oz,1,5,9,130,23,260
바닐라 스타벅스 더블 샷,Vanilla Starbucks Double Shot,,,,,1,4,2,30,14,150
블론드 바닐라 더블 샷 마키아또,Blonde Vanilla Double Shot Macchiato,Tall,톨,355,12 fl oz,1,12,8,130,31,170
사케라또 아포가토,Shakerato Affogato,Tall,톨,355,12 fl oz,1,10,4,70,30,210
스파클링 시트러스 에스프레소,Sparkling Citrus Espresso,Tall,톨,355,12 fl oz,1,0,0,5,15,105
아이스 블론드 바닐라 더블 샷 마키아또,Iced Blonde Vanilla Double Shot Macchiato,Tall,톨,355,12 fl oz,1,6,5,65,22,170
에스프레소,Espresso,,,,,1,0,0,0,0,75
커피 스타벅스 더블 샷,Coffee Starbucks Double Shot,,,,,1,5,3,28,14,150
클래식 아포가토,Classic Affogato,Tall,톨,355,12 fl oz,1,10,4,70,18,210
헤이즐넛 스타벅스 더블 샷,Hazelnut Starbucks Double Shot,,,,,1,5,3,28,14,150
에스프레소 프라푸치노,Espresso Frappuccino,Tall,톨,355,12 fl oz,1,1,2,115,29,120
자바 칩 프라푸치노,Java Chip Frappuccino,Tall,톨,355,12 fl oz,1,9,6,180,42,100
카라멜 프라푸치노,Caramel Frappuccino,Tall,톨,355,12 fl oz,1,7,4,190,39,85
화이트 초콜릿 모카 프라푸치노,White Chocolate Mocha Frappuccino,Tall,톨,355,12 fl oz,1,6,4,160,43,85
제주 까망 크림 프라푸치노,Jeju Black Sesame Cream Frappuccino,Grande,그란데,473,16 fl oz,1,7,9,330,79,0
제주 쑥떡 크림 프라푸치노,Jeju Mugwort Cream Frappuccino,Grande,그란데,473,16 fl oz,1,10,8,250,57,0
제주 유기농 말차로 만든 크림 프라푸치노,Malcha Cream Frappuccino from Jeju Organic Farm,Tall,톨,355,12 fl oz,1,7,5,150,28,60
초콜릿 크림 칩 프라푸치노,Chocolate Cream Chip Frappuccino,Tall,톨,355,12 fl oz,1,7,6,160,40,10
피스타치오 아보카도 초콜릿 프라푸치노,Pistachio Avocado Chocolate Cream Frappuccino,Tall,톨,355,12 fl oz,1,1,3,170,36,5
화이트 타이거 프라푸치노,White Tiger Frappuccino,Grande,그란데,473,16 fl oz,1,14,5,220,57,0
망고 패션 티 블렌디드,Mango Passion Tea Blended,Tall,톨,355,12 fl oz,1,0,2,105,29,0
북한산 레몬 얼 그레이 블렌디드,Bukhansan Lemon Earl Grey Blended,Tall,톨,355,12 fl oz,1,0,0,10,25,8
스타벅스 클래식 밀크티 블렌디드,Starbucks Classic Milk Tea Blended,,,,,1,13,3,55,37,60
여수 바다 유자 블렌디드,Yeosu Sea Yuja Blended,Grande,그란데,473,16 fl oz,1,0,0,10,57,0
딸기 딜라이트 요거트 블렌디드,Strawberry Delight Yogurt Blended,Tall,톨,355,12 fl oz,1,4,9,110,57,0
망고 바나나 블렌디드,Mango Banana Blended,Grande,그란데,473,16 fl oz,1,0,4,130,45,0
코튼 스카이 요거트 블렌디드,Cotton Sky Yogurt Blended,Tall,톨,355,12 fl oz,1,1,4,65,41,0
피치 요거트 블렌디드,Peach Yogurt Blended,Tall,톨,355,12 fl oz,1,0,2,75,35,0
피치 요거트 블렌디드,Peach Yogurt Blended,,,,,1,0,0,0,0,0
딸기 아사이 레모네이드 스타벅스 리프레셔,Strawberry Acai with Lemonade Starbucks Refreshers™,Tall,톨,355,12 fl oz,1,0,1,0,24,30
망고 용과 레모네이드 스타벅스 리프레셔,Mango Dragonfruit with Lemonade Starbucks Refreshers™,Tall,톨,355,12 fl oz,1,0,0,35,23,25
퍼플 드링크 위드 망고 용과 스타벅스 리프레셔,Purple Drink with Mango Dragonfruit Starbucks Refreshers™,Tall,톨,355,12 fl oz,1,0,0,70,16,25
핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,Pink Drink with Strawberry Acai Starbucks Refreshers™,Tall,톨,355,12 fl oz,1,0,1,40,18,30
레드 애플 피지오,Red Apple Fizzio,,,,,1,0,0,10,26,0
아이스크림 레드 애플 피지오,Ice Cream Red Apple Fizzio,Tall,톨,355,12 fl oz,1,5,2,45,36,0
여수 바다 자몽 피지오,Yeosu Sea Grapefruit Fizzio,Grande,그란데,473,16 fl oz,1,0,1,105,45,0
유자 패션 피지오,Yuja Passion Starbucks Fizzio,Tall,톨,355,12 fl oz,1,0,0,5,36,0
제주팔삭 셔벗 피지오,Jeju Hassaku Orange Frozen Fizzio,,,,,1,0,0,5,38,0
제주팔삭 피지오,Jeju Hassaku Orange Fizzio,,,,,1,0,0,5,34,0
쿨 라임 피지오,Cool Lime Starbucks Fizzio™,Tall,톨,355,12 fl oz,1,0,0,20,25,110
피치 딸기 피지오,Peach Strawberry Starbucks Fizzio,Tall,톨,355,12 fl oz,1,0,0,20,26,37
리프레싱 자몽 캐모마일 티,Refreshing Grapefruit Chamomile Tea,Tall,톨,355,12 fl oz,1,0,0,5,21,0
아이스 리프레싱 자몽 캐모마일 티,Iced Refreshing Grapefruit Chamomile Tea,Tall,톨,355,12 fl oz,1,0,0,5,21,0
민트 블렌드 티,Mint Blend Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,0
아이스 민트 블렌드 티,Iced Mint Blend Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,0
아이스 얼 그레이 티,Iced Earl Grey Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,50
아이스 유스베리 티,Iced Youthberry™Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,20
아이스 유자 민트 티,Iced Yuja Mint Tea,Tall,톨,355,12 fl oz,1,0,0,5,37,0
아이스 잉글리쉬 브렉퍼스트 티,Iced English Breakfast Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,40
아이스 제주 유기 녹차,Iced Jeju Organic Green Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,16
아이스 제주팔삭 & 자몽 허니 블랙 티,Iced Jeju Hassaku Orange & Grapefruit Honey Black Tea,,,,,1,0,0,5,38,27
아이스 캐모마일 블렌드 티,Iced Chamomile Blend Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,0
아이스 히비스커스 블렌드 티,Iced Hibiscus Blend Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,0
얼 그레이 티,Earl Grey Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,70
유스베리 티,Youthberry™Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,20
유자 민트 티,Yuja Mint Tea,Tall,톨,355,12 fl oz,1,0,0,10,58,0
잉글리쉬 브렉퍼스트 티,English Breakfast Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,70
자몽 허니 블랙 티,Grapefruit Honey Black Tea,Tall,톨,355,12 fl oz,1,0,0,5,30,70
제주 유기 녹차,Jeju Organic Green Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,16
제주팔삭 & 자몽 허니 블랙 티,Jeju Hassaku Orange & Grapefruit Honey Black Tea,,,,,1,0,0,5,38,70
캐모마일 블렌드 티,Chamomile Blend Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,0
히비스커스 블렌드 티,Hibiscus Blend Brewed Tea,Tall,톨,355,12 fl oz,1,0,0,0,0,0
레드 파워 패션 티,Red Power Passion Tea,Grande,그란데,473,16 fl oz,1,0,1,40,31,33
레몬 캐모마일 블렌드 티,Lemon Chamomile Blend Tea,,,,,1,0,0,10,30,0
아이스 레몬 캐모마일 블렌드 티,Iced Lemon Chamomile Blend Tea,,,,,1,0,0,10,30,0
아이스 자몽 허니 블랙 티,Iced Grapefruit Honey Black Tea,Tall,톨,355,12 fl oz,1,0,0,5,30,30
아이스 자몽 허니 블랙 티,Iced Grapefruit Honey Black Tea,Trenta,트렌타,887,30 fl oz,1,0,1,10,79,75
돌체 블랙 밀크 티,Dolce Black Milk Tea,Tall,톨,355,12 fl oz,1,5,8,115,34,60
말차 티라미수 라떼,Malcha Tiramisu Latte,,,,,1,15,11,220,38,75
스노우 말차 라떼,Snow Malcha Latte,Tall,톨,355,12 fl oz,1,14,11,210,32,65
스타벅스 클래식 밀크 티,Starbucks Classic Milk Tea,Tall,톨,355,12 fl oz,1,13,5,80,31,190
스타벅스 클래식 밀크 티,Starbucks Classic Milk Tea,,,,,1,0,0,0,0,0
아이스 돌체 블랙 밀크 티,Iced Dolce Black Milk Tea,Tall,톨,355,12 fl oz,1,3,6,85,31,35
아이스 말차 티라미수 라떼,Iced Malcha Tiramisu Latte,,,,,1,13,8,170,33,75
아이스 스노우 말차 라떼,Iced Snow Malcha Latte,Tall,톨,355,12 fl oz,1,12,8,160,27,65
아이스 스타벅스 클래식 밀크 티,Iced Starbucks Classic Milk Tea,,,,,1,9,3,50,21,80
아이스 얼 그레이 바닐라 티 라떼,Iced Earl Grey Vanilla Tea Latte,Tall,톨,355,12 fl oz,1,10,8,115,33,29
아이스 제주 유기농 말차로 만든 라떼,Iced Malcha Latte from Jeju Organic Farm,Tall,톨,355,12 fl oz,1,3,6,95,16,60
아이스 차이 티 라떼,Iced Chai Tea Latte,Tall,톨,355,12 fl oz,1,3,5,70,31,70
얼 그레이 바닐라 티 라떼,Earl Grey Vanilla Tea Latte,Tall,톨,355,12 fl oz,1,11,9,130,36,55
제주 유기농 말차로 만든 라떼,Malcha Latte from Jeju Organic Farm,Tall,톨,355,12 fl oz,1,5,9,130,20,60
차이 티 라떼,Chai Tea Latte,Tall,톨,355,12 fl oz,1,3,6,70,31,70
스타벅스 딸기 라떼,Starbucks Strawberry Milk,Tall,톨,355,12 fl oz,1,2,3,55,24,0
아이스 화이트 타로 라떼,Iced White Taro Milk,Tall,톨,355,12 fl oz,1,3,5,120,22,0
화이트 타로 라떼,White Taro Milk,Tall,톨,355,12 fl oz,1,5,8,180,28,0
딸기 콜드폼 초콜릿,Strawberry Cold Foam Chocolate,,,,,1,2,7,110,45,5
시그니처 핫 초콜릿,Signature Hot Chocolate,Tall,톨,355,12 fl oz,1,9,15,105,52,15
아이스 시그니처 초콜릿,Iced Signature Chocolate,Tall,톨,355,12 fl oz,1,7,10,70,32,15
아이스 티라미수 초콜릿,Iced Tiramisu Chocolate,,,,,1,11,7,130,34,10
티라미수 초콜릿,Tiramisu Chocolate,Tall,톨,355,12 fl oz,1,14,11,200,41,10
플러피 판다 아이스 초콜릿,Fluffy Panda Iced Chocolate,Grande,그란데,473,16 fl oz,1,16,11,150,39,0
플러피 판다 핫 초콜릿,Fluffy Panda Hot Chocolate,Grande,그란데,473,16 fl oz,1,17,12,160,48,0
딸기 콜드폼 딸기 라떼,Strawberry Cold Foam Strawberry Latte,,,,,1,2,6,110,41,0
스타벅스 슬래머,Starbucks Slammer,Grande,그란데,473,16 fl oz,1,0,0,0,55,0
스팀 우유,Steamed Milk,Tall,톨,355,12 fl oz,1,7,13,173,18,0
아이스 제주 까망 라떼,Iced Jeju Black Sesame Latte,Grande,그란데,473,16 fl oz,1,11,10,210,45,0
우유,Milk,Tall,톨,355,12 fl oz,1,8,12,200,18,0
제주 까망 라떼,Jeju Black Sesame Latte,Grande,그란데,473,16 fl oz,1,7,13,250,49,0
제주 까망 라떼,Jeju Black Sesame Latte,,,,,1,0,0,0,0,0
필 더 그린 190ML,Fill The Green 190ML,,,,,1,0,1,15,15,0
필 더 레드 190ML,Fill The Red 190ML,,,,,1,0,1,45,16,0
필 더 레드 190ML,Fill The Red 190ML,,,,,1,0,0,0,0,0
딸기주스 190ML,Strawberry Juice 190ML,,,,,1,0,0,30,25,0
망고주스 190ML,Mango Juice 190ML,,,,,1,0,1,15,23,0
스타 루비 자몽 스위트 190ML,Star Ruby Grapefruit Sweet 190ML,,,,,1,0,0,5,32,0
유기농 오렌지 100% 주스 190ML,Organic Orange 100% Juice 190ML,,,,,1,0,2,5,20,0
유기농 오렌지 100% 주스 591ML,Organic Orange 100% Juice 591ML,,,,,1,0,6,10,62,0
케일&사과주스 190ML,Kale&Apple Juice 190ML,,,,,1,0,0,25,26,0
핑크 용과 레모네이드 190ML,Pink Dragon Fruit Lemonade 190ML,,,,,1,0,0,5,19,0
한라봉주스 190ML,Hallabong Juice 190ML,,,,,1,0,1,10,20,0
햇사과 주스 190ML,Newly Harvested Apple Juice 190ML,,,,,1,0,0,10,27,0
햇사과 주스 591ML,Newly Harvested Apple Juice 591ML,,,,,1,0,1,20,84,0
딸기 가득 요거트 190ML,Strawberry Yogurt 190ML,,,,,1,3,4,50,21,0
블루베리 요거트 190ML,Blueberry Yogurt 190ML,,,,,1,3,5,70,18,0
